District,Rank,Crime_Type,Total_Cases,Pct_of_District_Total
Mathura,4,Murder,7940,5.2
Mathura,5,Rape,7249,4.7
Mau,1,IPC Crimes,23790,55.2
Mau,2,SLL Crimes,13206,30.6
Mau,3,Crimes Against Women,3488,8.1
Mau,4,Crimes Against Children,1132,2.6
Mau,5,Crimes Against SCs,754,1.7
Meerut,1,IPC Crimes,70232,34.5
Meerut,2,SLL Crimes,53420,26.2
Meerut,3,Crimes Against Women,8672,4.3
Meerut,4,Fraud,8038,3.9
Meerut,5,Burglary,7945,3.9
Mirzapur,1,IPC Crimes,14380,16.5
Mirzapur,2,SLL Crimes,13147,15.1
Mirzapur,3,Rape,7124,8.2
Mirzapur,4,Cybercrime,6248,7.2
Mirzapur,5,Murder,6042,6.9
Moradabad,1,IPC Crimes,38711,27.7
Moradabad,2,SLL Crimes,30071,21.5
Moradabad,3,Crimes Against Women,8312,6.0
Moradabad,4,Dowry Deaths,7760,5.6
Moradabad,5,Rape,7226,5.2
Muzaffarnagar,1,IPC Crimes,33722,25.7
Muzaffarnagar,2,SLL Crimes,30273,23.1
Muzaffarnagar,3,Murder,6993,5.3
Muzaffarnagar,4,Burglary,6728,5.1
Muzaffarnagar,5,Assault,6713,5.1
Noida,1,Robbery,7408,12.2
Noida,2,Fraud,7176,11.8
Noida,3,Theft,6865,11.3
Noida,4,Kidnapping,6571,10.8
Noida,5,Assault,5996,9.8
Pilibhit,1,SLL Crimes,24359,42.0
Pilibhit,2,IPC Crimes,23458,40.5
Pilibhit,3,Crimes Against Women,6426,11.1
Pilibhit,4,Crimes Against Children,1858,3.2
Pilibhit,5,Crimes Against SCs,996,1.7
Pratapgarh,1,IPC Crimes,46954,61.5
Pratapgarh,2,SLL Crimes,17342,22.7
Pratapgarh,3,Crimes Against Women,6247,8.2
Pratapgarh,4,Crimes Against SCs,2884,3.8
Pratapgarh,5,Crimes Against Children,2254,3.0
Prayagraj,1,IPC Crimes,87041,39.8
Prayagraj,2,SLL Crimes,48996,22.4
Prayagraj,3,Crimes Against Women,10961,5.0
Prayagraj,4,Cybercrime,7823,3.6
Prayagraj,5,Kidnapping,7279,3.3
Raebareli,1,Burglary,7794,12.4
Raebareli,2,Cybercrime,7225,11.5
Raebareli,3,Theft,7001,11.1
Raebareli,4,Dowry Deaths,6959,11.1
Raebareli,5,Kidnapping,6412,10.2
Raibareilly,1,IPC Crimes,38829,51.7
Raibareilly,2,SLL Crimes,27037,36.0
Raibareilly,3,Crimes Against Women,4453,5.9
Raibareilly,4,Crimes Against Children,1957,2.6
Raibareilly,5,Crimes Against SCs,1886,2.5
Rampur,1,SLL Crimes,47550,65.1
Rampur,2,IPC Crimes,18334,25.1
Rampur,3,Crimes Against Women,5464,7.5
Rampur,4,Crimes Against Children,832,1.1
Rampur,5,Crimes Against SCs,445,0.6
Saharanpur,1,SLL Crimes,37069,27.6
Saharanpur,2,IPC Crimes,29028,21.6
Saharanpur,3,Kidnapping,6909,5.2
Saharanpur,4,Robbery,6559,4.9
Saharanpur,5,Dowry Deaths,6295,4.7
Sambhal,1,SLL Crimes,29267,49.4
Sambhal,2,IPC Crimes,22990,38.8
Sambhal,3,Crimes Against Women,4534,7.7
Sambhal,4,Crimes Against Children,1410,2.4
Sambhal,5,Crimes Against SCs,500,0.8
